nom,prenom,dateNaissance,numeroLicence,sexe,club,pointsSimple,pointsDouble,pointsMixte
TRAN,Isabelle,1992-07-05,9181064,FEMME,Shuttle Reims,1687,1583,1584
POULAIN,Baptiste,1993-10-20,6048936,HOMME,Auvergne Bad,1718,1693,1585
SCHWARZ,Aïcha,2010-06-05,4175099,FEMME,ASPTT Bordeaux,693,587,768
MASSON,Sakura,1983-07-06,8300462,FEMME,Shuttle Angers,731,829,635
FONTAINE,Sienna,2013-01-21,3339134,FEMME,Nouvelle-Aquitaine Bad,470,,400
WEBER,Gilles,1996-05-22,1844744,HOMME,Bad Finistère,956,1015,991
MOREL,Arthur,1995-08-09,2359992,HOMME,Bad Amiens,,,
FERRY,Zoé,1986-01-19,1597613,FEMME,BC Rouen Nord,876,894,916
PIRES,Cédric,2009-05-20,7473833,HOMME,Bad Indre,573,505,571
SIMON,Arnaud,2007-03-12,1557789,HOMME,Bad Ain,552,559,498
COSTA,Saki,1958-06-09,9551192,FEMME,BC Bayonne,450,400,400
SCHWARZ,Amandine,1956-11-30,3508712,FEMME,BC Villefranche,,,
FONTAINE,Valentin,1987-05-07,9926310,HOMME,Colmar Bad,1098,1013,1102
MANSOURI,Yumi,2011-07-13,1601834,FEMME,BC Tours Nord,407,400,400
FONTAINE,Zahra,2002-02-13,8654520,FEMME,Bad Cambrai,907,987,962
LAMBERT,Hung,2013-05-03,1832188,HOMME,BC Fréjus,427,400,400
GAGNON,Christine,1994-08-17,9010589,FEMME,BC Voiron,727,692,766
BOUCHARD,Virginie,2006-10-26,1614121,FEMME,BC Perpignan,899,809,855
PREVOT,Gauthier,1967-05-15,1883988,HOMME,BC Limoges,1059,1136,1098
LEGRAND,Loubna,2011-08-16,4297334,FEMME,Bad Club Bordeaux,511,523,400
RICHARD,Claire,1956-11-09,4200355,FEMME,Bad Ardennes,572,487,592
MICHEL,Saki,1987-03-12,2153392,FEMME,BC Clermont,488,458,495
POULAIN,David,2009-09-12,3765537,HOMME,Bad Hérault,407,400,400
DINH,Claire,1995-07-06,9084338,FEMME,BC Marseille,669,686,559
BENALI,Marie,1968-04-13,3213134,FEMME,BC Reims,749,669,733
SOUSA,Olivier,2011-06-20,5042212,HOMME,Bad Hérault,505,599,
AUBRY,Nathan,2002-10-04,9042675,HOMME,BC Amboise,970,,1048
SOUSA,Nathalie,1961-03-14,1606133,FEMME,BC Cholet,459,511,523
RICHTER,Thu,1998-02-08,6822202,FEMME,BC Montpellier,589,476,520
DELORME,Céline,2012-08-31,2748618,FEMME,BC Le Mans,564,604,487
BOUCHARD,Paul,2012-09-22,6494100,HOMME,BC Tours Nord,501,419,484
SCHNEIDER,Yuki,2011-03-31,7946820,FEMME,Shuttle Mulhouse,552,648,407
GAGNON,Duc,2010-07-26,1034417,HOMME,BC Mulhouse,594,573,533
MULLER,Alexandre,1995-07-05,7319725,HOMME,BC Tours,1947,2040,1805
SCHWARZ,Sara,1972-03-29,5753798,FEMME,BC Nantes Ouest,895,986,721
CARVALHO,Zahra,2009-04-03,9454112,FEMME,BC Toulon,602,484,443
FRANCOIS,Marine,1995-08-18,4316893,FEMME,BC Charleville,1460,1471,1306
COLIN,Nadia,1990-02-14,9781720,FEMME,BC Metz,653,528,711
MARTINEZ,Romain,1982-11-22,1110366,HOMME,Bad Isère,1170,1049,1006
MEUNIER,Tristan,1992-01-23,6316417,HOMME,BC Bayonne,949,858,812
CARON,Lilou,2010-07-12,5035130,FEMME,BC Cholet,618,702,600
WAGNER,Quoc,1973-12-26,6185544,HOMME,ESM Vendôme,1135,1220,1079
COSTA,Yumi,1993-02-18,9379731,FEMME,BC Charleville,1070,1168,1116
BONNET,Sylvie,2014-07-20,5916335,FEMME,Bad Isère,404,400,400
ROYER,Bruno,1983-05-16,2550351,HOMME,BC Bourg,481,413,443
TREMBLAY,Fatima,1976-07-01,7817567,FEMME,Île-de-France Badminton,704,668,782
MEYER,Nina,1987-03-08,8276269,FEMME,Grand Est Badminton,573,480,650
LEFEVRE,Hoa,1988-02-16,9835170,FEMME,BC Tours Nord,1405,,1427
MARTINEZ,Luc,1988-05-09,8613214,HOMME,BC Douai,1504,1430,1369
PIRES,Tristan,2002-09-17,3180691,HOMME,BC Caen Maritime,1487,1564,1316
BRANDT,Axel,2011-11-12,4100611,HOMME,BC Nantes Ouest,533,,
BONNET,Yann,1991-01-08,5625585,HOMME,BC Charleville,958,869,
NICOLAS,Minh,2001-11-08,5781322,HOMME,BC Marseille,,,
ROUX,Yann,1996-12-13,4710986,HOMME,BC Metz,1846,1854,1777
COTE,Alain,1956-12-17,7253849,HOMME,BC Besançon,962,821,956
LEFEBVRE,Florence,2011-11-22,2988655,FEMME,Bad Riom,531,419,475
SCHULZ,Catherine,1987-02-18,3031924,FEMME,Bad Toulon,,,
SIMON,Ethan,1964-03-12,3929385,HOMME,Bad Saint-Étienne,772,692,584
PERRIN,Huong,1955-08-25,6917849,FEMME,Bad Basque,1292,1221,1266
BLANC,Sophie,2010-01-09,6142975,FEMME,BC Chartres,636,559,479
AUBERT,Eva,2009-04-14,3766115,FEMME,Bad Var,623,531,614
MULLER,Damien,1974-11-18,1810951,HOMME,Levallois SC,1170,1108,1192
GUICHARD,Pascal,1988-07-04,9515297,HOMME,BC Lille,632,529,680
ROYER,Renaud,2004-11-18,3800519,HOMME,Bad Brest,1361,,1378
VASSEUR,Stéphane,2009-09-15,4971386,HOMME,CS Lunel,574,584,552
NICOLAS,Minh,1992-11-26,2754938,HOMME,BC Voiron,1650,1520,1667
AUBERT,Lan,1996-01-18,4423888,FEMME,US Créteil Bad,1110,1053,951
HOANG,Denis,1992-04-13,5679494,HOMME,BC Voiron,1776,1731,1657
PREVOT,Laura,1960-07-22,5486815,FEMME,Rhône-Alpes Bad,1106,,1097
HENRY,Stéphane,1997-09-29,4024209,HOMME,CS Lunel,1347,1436,1260
VU,Eva,1999-08-26,5692239,FEMME,Bad Ardennes,1276,1134,1298
MERCIER,Amina,2015-03-27,2309039,FEMME,PACA Badminton,435,400,400
SILVA,Isabelle,2010-08-19,2535277,FEMME,Bretagne Badminton,616,482,417
LECONTE,Nathalie,2002-11-21,8119054,FEMME,BC Pau,2057,2138,2132
MAILLOT,Liam,2011-02-08,9736510,HOMME,Picardie Bad,410,400,400
FRANCOIS,Aiko,1978-07-31,1077214,FEMME,BC Toulon,874,865,889
DAVID,Juliette,2004-11-09,9577427,FEMME,BC Voiron,976,833,1038
MANSOURI,Adrien,1989-12-08,3447946,HOMME,BC Clermont,934,1015,862
CARPENTIER,Luna,2000-06-25,7432505,FEMME,ASPTT Lyon,1267,1325,1170
VALENTIN,Jade,2012-04-23,2595842,FEMME,Shuttle Reims,491,586,546
MASSON,Aurélie,2015-05-20,4154832,FEMME,ASPTT Lyon,434,426,436
CARON,Christophe,1984-09-03,6525832,HOMME,Racing Club Paris,1001,897,878
MICHEL,Sylvie,2012-03-23,5771113,FEMME,Centre-Val Bad,569,620,602
ANDRE,Céline,2016-09-11,5776399,FEMME,Bad Club Seine,406,466,400
MARTIN,Isabelle,2017-10-31,5865721,FEMME,US Créteil Bad,444,412,406
BRUN,Sophie,1999-11-21,2895413,FEMME,Shuttle Club Lyon,1755,1664,1634
LEGROS,Victor,2005-02-25,6429902,HOMME,Rhône-Alpes Bad,1876,1866,1811
GIRARD,Maëlle,1960-03-27,6385117,FEMME,BC Sélestat,915,921,787
CARON,David,2007-04-04,8855381,HOMME,Colmar Bad,467,494,
GUERIN,Fatima,1986-08-20,6603893,FEMME,Shuttle Club Lyon,699,711,
AUBERT,Akane,1981-08-12,5671800,FEMME,Rhône-Alpes Bad,608,,495
LEGRAND,Raphaël,2002-06-11,3128056,HOMME,BC Strasbourg,1216,1135,1257
BOURGEOIS,Thibaut,2016-08-05,8437230,HOMME,BC Villefranche,446,411,452
BARBIER,Khoa,2016-10-02,4597459,HOMME,BC Reims,,,
BERTRAND,Hieu,1965-07-10,7931535,HOMME,BC Quimper,874,842,867
COTE,Erwan,1992-07-17,1537640,HOMME,Hauts-de-France Bad,1511,1543,1560
PETIT,Alain,1976-05-12,2287117,HOMME,BC Pau,1155,1130,1067
MATHIEU,Rin,2008-05-21,4120105,FEMME,BC Sète,608,538,599
FOURNIER,Alain,1988-10-17,4721657,HOMME,BC Mulhouse,1277,1237,1295
KLEIN,Tuan,2003-07-27,9020705,HOMME,BC Metz,852,717,786
GUERIN,Thomas,2017-01-28,7552013,HOMME,Bad Saint-Étienne,413,400,400
MARCHAND,Florence,1989-09-25,2716741,FEMME,Alsace Badminton,740,619,641
SIMON,Huong,2001-12-26,4193626,FEMME,BC Lille,1092,1094,992
MATHIEU,Hung,2009-01-24,7065502,HOMME,PUC Badminton,528,617,400
FONTAINE,Léa,1994-09-30,7773990,FEMME,BC Bourg,732,666,807
JACOBS,Liam,1987-04-24,7922134,HOMME,Bad Var,,,
KLEIN,Vincent,2004-01-23,9925456,HOMME,BC Tours,1276,1333,1210
MICHEL,Luna,1963-02-06,2300119,FEMME,Bad Ain,1224,1183,1070
PERRIN,Minh,1999-06-19,2821909,HOMME,Levallois SC,1918,2011,1744
PIRES,Lilou,2001-03-15,5032301,FEMME,BC Chartres,661,726,609
POULAIN,Sarah,1991-01-06,8514117,FEMME,BC Montpellier,,,
AUBERT,Renaud,2011-01-02,6938486,HOMME,BC Strasbourg,532,402,
RENAUD,Ronan,1961-05-29,5939676,HOMME,US Créteil Bad,893,821,958
BARBIER,Lan,1959-05-28,5507193,FEMME,Bad Ardennes,688,559,648
DELORME,Arthur,1993-04-11,6493207,HOMME,Bad Club Bordeaux,1305,1229,1229
PHAM,Nam,1962-03-22,5593203,HOMME,BC Amboise,990,1018,901
BELLAMY,Alice,1989-11-17,6007072,FEMME,Bad Indre,1519,1564,1590
KLEIN,Erwan,1959-12-04,8973915,HOMME,Rhône-Alpes Bad,609,567,685
ROUX,Julie,1998-01-05,8850942,FEMME,BC Lorient,918,904,883
ROYER,Catherine,2006-11-24,7072816,FEMME,BC Charleville,1735,1662,1608
ANDRE,Romain,2017-07-25,3984801,HOMME,Bad Club Bordeaux,426,433,400
CHARRIER,Romane,2015-05-23,2753437,FEMME,Bad Club Bordeaux,434,400,433
VASSEUR,Léo,1961-09-14,1947817,HOMME,Shuttle Angers,,,
PETIT,Hoa,2007-05-09,5131532,FEMME,BC Sélestat,823,843,684
DURAND,Patrick,1998-08-25,8280817,HOMME,Bad Club Seine,,,
PIRES,Agathe,1996-09-09,8431698,FEMME,ESM Vendôme,1123,1116,1115
VALENTIN,Zahra,1971-06-11,1319343,FEMME,BC Tours,1207,1199,1170
COSTA,Marine,2014-11-28,5951043,FEMME,BC Quimper,452,400,400
ROUSSEAU,Nam,2015-03-15,1319190,HOMME,CS Lunel,,,
BRANDT,Chloé,2014-02-09,1209703,FEMME,Bad Cambrai,421,408,433
BRUN,Tom,2010-01-15,5107753,HOMME,BC Grenoble,572,614,448
LOPES,Amaury,2009-02-04,6528495,HOMME,Shuttle Villeurbanne,446,428,400
DINH,Tom,2008-11-12,8916565,HOMME,BC Strasbourg,,,
TREMBLAY,Nolan,1993-09-19,3499185,HOMME,BC Mulhouse,1601,1487,
SCHWARZ,Emmanuel,2003-01-31,7545520,HOMME,BC Orléans,1715,1599,1553
SIMON,Quentin,2005-04-01,5152197,HOMME,Bad Var,,,
LEGRAND,Nolan,2014-06-15,9221837,HOMME,BC Marseille,467,479,477
COSTA,Amandine,1987-09-01,5506097,FEMME,BC Caen Maritime,521,450,572
HOANG,Amina,1987-03-20,9943143,FEMME,BC Sète,1474,1527,
GIRARD,Mathieu,1956-12-11,2368710,HOMME,Île-de-France Badminton,893,856,803
BENALI,Jacques,2013-12-17,9646994,HOMME,Anjou Badminton,,,
MULLER,Virginie,1963-12-02,7562471,FEMME,Bad Isère,1231,1253,1130
BELLAMY,Thibaut,2001-11-03,6815820,HOMME,BC Thiers,542,488,400
MAILLOT,Sarah,1995-12-06,6408143,FEMME,Shuttle Villeurbanne,1999,1930,1839
TREMBLAY,Eva,2004-05-21,1200846,FEMME,BC Paris 15,667,585,725
GAGNON,Erwan,1988-01-06,7072198,HOMME,Bad Cambrai,853,,801
CARON,Pierre,2009-09-14,1670880,HOMME,CS Lunel,546,609,400
RENAUD,Nadia,1986-08-21,3891388,FEMME,BC Thiers,1114,1015,948
JACOBS,Quentin,1988-01-07,4502044,HOMME,BC Reims,1486,1455,1317
DELORME,Quoc,1968-02-12,2201521,HOMME,Bad Ain,1213,1282,1030
DUPUIS,Charlotte,2014-11-02,8737144,FEMME,Shuttle Mulhouse,487,499,440
BUI,Christine,2003-11-23,4562439,FEMME,Shuttle Club Lyon,1761,1813,1714
MASSON,Alexis,1962-11-11,7959414,HOMME,PUC Badminton,1208,1102,1280
COLIN,Juliette,1991-01-19,4789390,FEMME,Bad Toulon,695,637,670
PEREIRA,Emma,1969-02-21,9823994,FEMME,BC Grenoble,455,472,400
LEFEVRE,Ambre,2004-08-17,5242326,FEMME,Picardie Bad,799,833,845
PIRES,Aïcha,1990-10-26,6297674,FEMME,Normandie Badminton,506,400,400
GARCIA,Ambre,1993-07-23,7895139,FEMME,BC Strasbourg,1252,1251,1214
SANTOS,Assia,2013-07-23,7337047,FEMME,Bad Toulon,460,498,400
BERTRAND,Haruka,2010-06-10,4291811,FEMME,Île-de-France Badminton,622,675,651
PEREIRA,Haruka,1990-01-29,2978107,FEMME,BC Caen,997,866,955
BLANC,Matteo,2002-12-13,8190294,HOMME,Île-de-France Badminton,681,592,680
MASSON,Loïc,2013-08-20,1630944,HOMME,Bad Club Rennes,447,518,400
HOANG,Quoc,2010-03-27,3705574,HOMME,BC Valenciennes,563,569,400
LECONTE,Sophie,1992-02-09,9756127,FEMME,Picardie Bad,,,
CLEMENT,Jean,1983-04-04,1212981,HOMME,BC Mulhouse,1456,1519,1536
BONNET,Zoé,2004-09-19,5505882,FEMME,BC Toulon,1868,1906,1938
PHAM,Bruno,1991-07-19,7455879,HOMME,ASPTT Bordeaux,535,445,563
RENAUD,Fatima,2012-08-01,6328944,FEMME,BC Rouen Nord,488,409,507
DUPUIS,Alexia,2008-11-19,3150824,FEMME,Île-de-France Badminton,583,626,574
ROUX,Matteo,2003-04-08,2851853,HOMME,Bad Club Seine,691,686,756
ROBERT,Dylan,1992-11-03,3086695,HOMME,Alsace Badminton,685,547,547
WOLFF,Lan,1982-09-25,3398155,FEMME,ACBB Boulogne,966,997,772
MASSON,Kevin,1962-06-21,4965102,HOMME,BC Orléans,1055,980,1007
MICHEL,Quoc,2007-04-10,9853937,HOMME,Bad Ardennes,631,490,625
BRUN,Camille,1996-04-18,5117891,FEMME,BC Quimper,1911,1766,1895
CARON,Charlotte,2009-08-10,4909340,FEMME,BC Caen Maritime,628,655,633
ROUSSEAU,Nathalie,2008-02-19,1174787,FEMME,BC Mulhouse,755,744,573
BRANDT,Enzo,1988-06-19,1488905,HOMME,BC Nantes Ouest,1032,900,850
MEUNIER,Manon,1956-06-03,9864166,FEMME,Shuttle Nancy,1240,1322,1217
ADAM,Mathilde,1957-10-13,2185287,FEMME,BC Voiron,813,672,892
WOLFF,Julien,2000-04-22,3178137,HOMME,Bad Saint-Étienne,1965,2049,1977
BRUN,Robin,1958-03-31,9842468,HOMME,Shuttle Angers,1184,1278,1095
MANSOURI,Khoa,2011-07-14,4645316,HOMME,PACA Badminton,515,514,440
RICHARD,Elisa,2009-03-23,6605477,FEMME,Bad Dijon,647,537,456
HOFFMANN,Nam,1959-09-06,2068553,HOMME,BC Clermont,1157,1142,1033
RICHTER,Maëlle,1969-05-24,6154339,FEMME,Pays de Loire Bad,611,602,
FERNANDEZ,Laura,1959-07-16,8378736,FEMME,BC Thiers,985,939,1017
ROUSSEAU,Bryan,2012-09-18,7721594,HOMME,BC Strasbourg,474,,400
DO,Yen,2004-05-12,8666938,FEMME,Bad Club Bordeaux,1286,1354,1097
LEGRAND,Amaury,2007-07-03,2134458,HOMME,Bad Brest,787,832,841
COLIN,Alice,1962-05-14,7327479,FEMME,BC Quimper,,,
LECONTE,Amaury,2010-04-29,9732779,HOMME,ACBB Boulogne,478,400,530
RICHTER,Lucas,2005-04-08,5597462,HOMME,Bad Riom,1462,1418,
WEBER,Romain,2004-08-15,6679386,HOMME,BC Villefranche,1046,1099,935
CARPENTIER,Amaury,2009-11-26,3696717,HOMME,BC Strasbourg,542,462,471
RICHTER,Ronan,2017-12-11,6528347,HOMME,Bad Finistère,442,461,413
PERRIN,Tuan,1984-07-25,4463644,HOMME,BC Sète,1246,1104,1120
TRAN,Kevin,1984-08-19,4584107,HOMME,BC Tours,1522,1547,1349
ADAM,Enzo,1955-09-22,5913897,HOMME,BC Rouen Nord,1139,1065,
LAURENT,Linh,1963-09-25,2514746,FEMME,Shuttle Reims,720,603,706
CARON,Aurélie,1999-11-07,7289270,FEMME,BC Orléans,659,644,613
RENARD,Tristan,2001-12-17,1534901,HOMME,Colmar Bad,1675,1738,1480
PHAM,Xavier,2010-04-29,2810772,HOMME,Bad Saint-Étienne,420,422,400
SCHULZ,Yasmine,1961-01-28,4548261,FEMME,Bad Club Bordeaux,1216,1228,1088
ADAM,Bryan,1999-12-09,3158614,HOMME,BC Vichy,1739,1627,1746
WAGNER,Clara,1997-10-03,3686370,FEMME,Bretagne Badminton,1448,1447,1315
BENALI,Isabelle,2006-04-24,6813738,FEMME,BC Aix-en-Provence,694,794,644
VALENTIN,Enzo,2007-05-14,8660925,HOMME,Bad Riom,770,769,774
MARTIN,Isabelle,1969-07-04,7170418,FEMME,Shuttle Club Lyon,,,
CARVALHO,Guillaume,2012-03-03,1805571,HOMME,BC Tours Nord,452,444,400
KLEIN,Emmanuel,2014-04-24,3700106,HOMME,BC Toulon,418,400,400
PIRES,Héloïse,1996-10-24,6586260,FEMME,Shuttle Toulouse,758,693,813
VASSEUR,Alice,1993-08-31,1315979,FEMME,Shuttle Club Lyon,1617,1621,1697
BUI,Linh,2007-05-20,2682597,FEMME,Bretagne Badminton,499,,400
SOUSA,Gilles,1956-08-24,3547728,HOMME,BC Caen,,,
GAUTHIER,Juliette,1958-04-30,2665751,FEMME,BC Limoges,923,820,749
PELLETIER,Edouard,1988-05-29,8596447,HOMME,BC Villefranche,774,789,653
POULAIN,Minh,2007-08-02,3244449,HOMME,Shuttle Club Lyon,767,771,792
MORIN,Lilou,2012-08-19,2872550,FEMME,BC Quimper,548,564,463
COTE,Aiko,2011-02-23,6059859,FEMME,Shuttle Club Lyon,575,537,632
DUPONT,Eva,1998-09-12,2044187,FEMME,Shuttle Reims,746,640,825
COSTA,Camille,2008-11-06,5598733,FEMME,BC Cholet,441,400,413
VU,Lola,1998-07-16,3148368,FEMME,BC Vichy,1382,1287,1355
LECONTE,Saki,2013-03-07,4002733,FEMME,BC Cholet,466,464,537
BERTRAND,Gilles,1985-01-20,1249096,HOMME,Bad Finistère,1440,1339,1280
WAGNER,Isabelle,1975-08-08,8133835,FEMME,BC Amboise,1092,,951
DINH,Emmanuel,2007-03-16,2802945,HOMME,Levallois SC,611,501,635
FAURE,Nina,2014-06-14,4715777,FEMME,Grand Est Badminton,479,,400
SILVA,Luna,2009-08-22,4682471,FEMME,PACA Badminton,663,729,476
NICOLAS,Céline,1977-04-11,6912301,FEMME,PACA Badminton,1111,1024,1141
ROYER,Thomas,2011-01-24,8117934,HOMME,Bad Dijon,564,,626
VALENTIN,Loïc,2006-06-14,6699648,HOMME,Shuttle Club Lyon,,,
BOUCHARD,Laëtitia,2005-11-23,5745661,FEMME,BC Chartres,559,554,429
HOANG,Aurélie,2008-03-12,4426466,FEMME,Rhône-Alpes Bad,848,867,679
FRANCOIS,Ambre,1999-08-24,8588532,FEMME,Colmar Bad,1295,1315,1366
NGUYEN,Jean,2010-02-17,6425358,HOMME,Anjou Badminton,670,695,587
FAURE,Christophe,2005-10-20,9605960,HOMME,Bad Var,1483,1447,1340
BECKER,Amandine,1990-04-09,7968462,FEMME,BC Caen Maritime,1718,1717,
LEFEVRE,Cédric,1970-07-19,2239425,HOMME,BC Quimper,751,672,722
BENALI,Baptiste,1994-08-21,8122296,HOMME,BC Reims,550,620,481
MASSON,Lisa,2005-08-16,4119277,FEMME,Shuttle Villeurbanne,731,660,793
SANTOS,Léa,2018-07-17,4878365,FEMME,Bad Club Seine,432,400,504
ROUSSEAU,Théo,1993-12-13,7588425,HOMME,Bretagne Badminton,791,747,629
MERCIER,Élodie,1992-05-10,7031923,FEMME,Île-de-France Badminton,1431,1417,1246
COSTA,Gaëtan,2010-12-04,1362563,HOMME,CSMT Versailles,442,400,400
SILVA,Pauline,2012-09-13,9918078,FEMME,Bad Ardennes,458,400,481
PHAM,Yumi,1979-07-06,3352201,FEMME,Bad Club Rennes,1275,1358,1145
LEFEBVRE,André,2003-06-30,3253939,HOMME,Shuttle Club Lyon,896,867,865
PELLETIER,Théo,1993-03-16,1254335,HOMME,Shuttle Club Lyon,1328,1220,1399
COLIN,Vincent,2008-09-14,7063368,HOMME,Bad Finistère,499,400,400
ANDRE,Guillaume,2018-09-02,6775461,HOMME,BC Grenoble,415,400,400
